method,text_prompt,test/clip_score,test/clip_directional_score,val/lpips,val/psnr,val/ssim
dge,"bonsai, detailed leaves, sunshine, indoor, natural atmosphere, sunlight from left",0.29091277718544,0.0399754345417022,0.116180419921875,25.906360626220703,0.7442455291748047
dge,"bicycle, detailed structure, sunshine, outdoor, warm atmosphere, sunlight from left",0.2555772066116333,0.0833998695015907,0.102783203125,24.35219955444336,0.7750627994537354
dge,"lego, detailed structure, indoor, warm atmosphere, sunlight from right",0.221243754029274,0.0140395453199744,0.0494956970214843,28.577960968017575,0.8529884815216064
dge,"tree, detailed leaves, sunshine, outdoor, warm atmosphere, sunlight from top",0.2193795293569564,0.0778598114848136,0.122894287109375,22.75001716613769,0.7193660736083984
dge,"television, detailed screen, shadow from window, indoor, sunlight from right",0.2044368386268615,0.0347052067518234,0.041015625,37.06015396118164,0.9838477969169616
dge,"flowers, detailed petals, sunshine, outdoor, warm atmosphere, sunlight from bottom",0.2393733710050583,0.1009863018989563,0.1127090454101562,22.10976791381836,0.7252098321914673
dge,"stamp, detailed texture, natural lighting, outdoor, sunlight from left",0.1841299831867218,0.0223534237593412,0.1144027709960937,23.549415588378903,0.7389522194862366
dge,"bonsai, detailed leaves, sunshine, indoor, natural atmosphere, sunlight from top",0.2829329371452331,0.0720155239105224,0.1420135498046875,24.588638305664062,0.7197092771530151
dge,"flowers, detailed petals, sunshine, outdoor, warm atmosphere, sunlight from top",0.2371491193771362,0.1133121848106384,0.1111984252929687,22.353946685791016,0.7295902967453003
dge,"stamp, detailed texture, natural lighting, outdoor, sunlight from top",0.1757895499467849,0.0321758463978767,0.1207809448242187,23.031591415405277,0.7318404316902161
dge,"table, detailed surface, warm atmosphere, indoor, sunlight from left",0.1867885589599609,0.0482368506491184,0.0307865142822265,34.85218811035156,0.9367184638977052
dge,"tree, detailed leaves, sunshine, outdoor, warm atmosphere, sunlight from left",0.2267954051494598,0.0788543224334716,0.1174468994140625,22.92798614501953,0.7275672554969788
dge,"flowers, detailed petals, sunshine, outdoor, warm atmosphere, sunlight from right",0.234355166554451,0.1027857214212417,0.1104965209960937,22.22308921813965,0.7269094586372375
dge,"table, detailed surface, warm atmosphere, indoor, sunlight from bottom",0.1625241339206695,0.0534624829888343,0.0315456390380859,33.98311996459961,0.929504930973053
dge,"television, detailed screen, shadow from window, indoor, sunlight from front",0.1962990015745163,0.026491766795516,0.0421829223632812,36.93233489990234,0.9834461808204652
dge,"stamp, detailed texture, natural lighting, outdoor, sunlight from right",0.1835021674633026,0.0254863910377025,0.11370849609375,23.691932678222656,0.7427783608436584
dge,"wooden table, detailed texture, sunset over garden, outdoor, warm atmosphere, sunlight from top",0.3095005750656128,0.0801490619778633,0.0839462280273437,25.381668090820312,0.7325825095176697
dge,"lego, detailed structure, indoor, warm atmosphere, sunlight from top",0.217931181192398,0.0095714889466762,0.0500984191894531,28.54783058166504,0.8589919805526733
